,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
0,0.0,2018-06-10 02:24:23,1.0,0.0,0.0,BBCWorld,@bobsnsane1 @BBCWorld Why do we refer to guns as american and knifes to Muslims ? Crook's will hind behind religion… https://t.co/XgLKwGOvQU,1
1,-0.0516,2018-06-10 02:24:18,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",2
2,-0.0516,2018-06-10 02:24:10,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",3
3,0.0,2018-06-10 02:24:07,1.0,0.0,0.0,BBCWorld,https://t.co/bOACIpIUht @eBay @youtube @cnn @BBCBreaking @google @BBCWorld @twitter @cnnbrk @nytimes… https://t.co/t2SIOLZhoZ,4
4,-0.0516,2018-06-10 02:23:35,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",5
5,0.0,2018-06-10 02:23:34,1.0,0.0,0.0,BBCWorld,@mtzuker @BBCWorld It has holes on it,6
6,0.0,2018-06-10 02:22:54,1.0,0.0,0.0,BBCWorld,RT @Mom0U812: @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah @altGS_rocks @bartenderResi…,7
7,0.0,2018-06-10 02:22:33,1.0,0.0,0.0,BBCWorld,Irish Sea. Chilly. https://t.co/CghPfsPqHM,8
8,0.0,2018-06-10 02:22:25,1.0,0.0,0.0,BBCWorld,"RT @shiksha_mitra: क्या यूपी में बदले की भावना से काम हो रहा है
उत्तराखंड,मध्यप्रदेश, हरियाणा,दिल्ली और राज्य में समाधान हो सकता है तो यूपी…",9
9,0.3612,2018-06-10 02:22:15,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",10
10,0.25,2018-06-10 02:22:09,0.882,0.0,0.118,BBCWorld,"@BBCWorld @TVMohandasPai @realDonaldTrump ""Has been taken advantage of"", in a unipolar world,not quite the thing. W… https://t.co/syOmdcUN7J",11
11,0.0,2018-06-10 02:21:59,1.0,0.0,0.0,BBCWorld,@BBCNewsnight @EvanHD The @BBCNewsnight @BBCR1 @BBCWorld @BBCNews always comes across as not understanding or liste… https://t.co/6cZtIIm7Fn,12
12,0.3612,2018-06-10 02:21:49,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",13
13,0.0,2018-06-10 02:21:47,1.0,0.0,0.0,BBCWorld,RT @JPMarat77: @BBCWorld They must have started taking in refugees,14
14,0.6341,2018-06-10 02:21:45,0.489,0.0,0.511,BBCWorld,@BBCWorld Way to go!! Impressive!,15
15,-0.0516,2018-06-10 02:21:34,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",16
16,0.0,2018-06-10 02:21:26,1.0,0.0,0.0,BBCWorld,RT @sameermparab: @rashtrapatibhvn @PMOIndia @rsprasad @HRDMinistry @MinistryWCD @TweeterSupport @facebook @abpnewstv @ZeeNews @CNBC @BBCWo…,17
17,0.3612,2018-06-10 02:21:14,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",18
18,0.3612,2018-06-10 02:20:51,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",19
19,0.0,2018-06-10 02:20:50,1.0,0.0,0.0,BBCWorld,RT @TehseenAbidi: @cnnbrk @BBCBreaking  @ABC  @ARYNEWSOFFICIAL @geonews_urdu @ExpressNewsPK  @arynewsud @92newschannel  @24NewsHD @ajjnews4…,20
20,0.0,2018-06-10 02:20:29,1.0,0.0,0.0,BBCWorld,Epic. https://t.co/bH07Pkonlj,21
21,-0.0516,2018-06-10 02:20:23,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",22
22,0.0,2018-06-10 02:19:27,1.0,0.0,0.0,BBCWorld,Apparently there's enough of these to warrant it's own bbc article @cousins_ben https://t.co/3rjdZrHsHO,23
23,0.0,2018-06-10 02:19:13,1.0,0.0,0.0,BBCWorld,@SarvenazMorshe2 @ThamsanqaNcube8 @BBCWorld Why did you write that?,24
24,0.0,2018-06-10 02:19:10,1.0,0.0,0.0,BBCWorld,@Mom0U812 @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah… https://t.co/jhqwBAPtdA,25
25,-0.8689,2018-06-10 02:19:02,0.612,0.388,0.0,BBCWorld,RT @mycriticaltoday: @BBCWorld UK imprisoned #TommyRobinson for fighting against sex grooming gangs in the UK. @BBC - no news -- fake news…,26
26,0.0,2018-06-10 02:18:51,1.0,0.0,0.0,BBCWorld,RT @agrapolice: आगरा पुलिस विदेशी पर्यटकों से उनकी भाषा मे बात करेगी। @dgpup @Uppolice @upcoprahul @UPPolNRI @adgzoneagra @igrangeagra @ami…,27
27,-0.0516,2018-06-10 02:18:16,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",28
28,0.0,2018-06-10 02:18:06,1.0,0.0,0.0,BBCWorld,https://t.co/jYIGBCkBiE @eBay @youtube @cnn @BBCBreaking @google @BBCWorld @twitter @cnnbrk @nytimes… https://t.co/itEF5GmROL,29
29,-0.0516,2018-06-10 02:18:06,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",30
30,-0.0516,2018-06-10 02:17:57,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",31
31,0.0,2018-06-10 02:17:56,1.0,0.0,0.0,BBCWorld,RT @Mom0U812: @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah @altGS_rocks @bartenderResi…,32
32,0.0,2018-06-10 02:17:55,1.0,0.0,0.0,BBCWorld,@BBCWorld 😂😂😂awesome!!,33
33,-0.0516,2018-06-10 02:17:44,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",34
